,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
HADS_01,1.0,0.86,0.85,0.85,0.87,0.88,0.88,0.84,0.86,0.75,0.82,0.81,0.81,0.86,0.87,0.83,0.85,0.85,0.81,0.86,0.85,0.72,0.78,0.88,0.79,0.8,0.78,0.77,0.76,0.81,0.7,0.75,0.74,0.81,0.79,0.72,0.77,0.71,0.8,0.79,0.75,0.8,0.87,0.83
HADS_03,0.86,1.0,0.89,0.86,0.95,0.89,0.9,0.85,0.85,0.78,0.82,0.77,0.79,0.81,0.84,0.81,0.82,0.81,0.76,0.81,0.8,0.68,0.79,0.76,0.72,0.79,0.72,0.74,0.72,0.8,0.64,0.76,0.63,0.76,0.8,0.69,0.76,0.66,0.71,0.7,0.67,0.75,0.89,0.86
HADS_05,0.85,0.89,1.0,0.84,0.9,0.88,0.89,0.88,0.85,0.81,0.85,0.84,0.84,0.82,0.85,0.8,0.82,0.81,0.78,0.83,0.82,0.68,0.78,0.8,0.77,0.81,0.75,0.78,0.76,0.82,0.69,0.75,0.72,0.79,0.82,0.71,0.79,0.7,0.75,0.75,0.73,0.77,0.86,0.85
HADS_07,0.85,0.86,0.84,1.0,0.85,0.89,0.88,0.83,0.83,0.75,0.81,0.81,0.82,0.77,0.8,0.79,0.8,0.78,0.77,0.79,0.78,0.66,0.76,0.8,0.82,0.78,0.73,0.76,0.77,0.79,0.71,0.75,0.73,0.76,0.82,0.74,0.78,0.74,0.8,0.74,0.76,0.75,0.84,0.78
HADS_09,0.87,0.95,0.9,0.85,1.0,0.87,0.91,0.84,0.84,0.79,0.83,0.77,0.8,0.82,0.85,0.82,0.83,0.82,0.76,0.82,0.8,0.69,0.81,0.79,0.72,0.77,0.74,0.75,0.73,0.8,0.64,0.78,0.64,0.76,0.79,0.7,0.76,0.67,0.72,0.72,0.67,0.76,0.87,0.87
HADS_11,0.88,0.89,0.88,0.89,0.87,1.0,0.88,0.85,0.86,0.75,0.82,0.8,0.81,0.79,0.8,0.76,0.79,0.78,0.78,0.78,0.8,0.62,0.73,0.81,0.79,0.79,0.68,0.74,0.76,0.8,0.69,0.71,0.72,0.78,0.8,0.71,0.78,0.7,0.77,0.72,0.74,0.72,0.87,0.8
HADS_13,0.88,0.9,0.89,0.88,0.91,0.88,1.0,0.89,0.89,0.78,0.86,0.82,0.84,0.83,0.85,0.84,0.87,0.83,0.79,0.84,0.83,0.7,0.82,0.82,0.78,0.83,0.78,0.8,0.77,0.87,0.73,0.83,0.72,0.8,0.85,0.75,0.82,0.75,0.81,0.78,0.72,0.81,0.87,0.86
HAMA_01,0.84,0.85,0.88,0.83,0.84,0.85,0.89,1.0,0.94,0.87,0.91,0.88,0.93,0.87,0.89,0.85,0.87,0.87,0.87,0.88,0.89,0.66,0.72,0.82,0.76,0.87,0.74,0.79,0.77,0.82,0.67,0.73,0.7,0.81,0.86,0.72,0.83,0.66,0.82,0.75,0.7,0.78,0.89,0.83
HAMA_02,0.86,0.85,0.85,0.83,0.84,0.86,0.89,0.94,1.0,0.87,0.91,0.88,0.92,0.91,0.91,0.87,0.9,0.89,0.88,0.9,0.93,0.69,0.71,0.83,0.79,0.81,0.75,0.76,0.77,0.8,0.61,0.74,0.69,0.83,0.84,0.74,0.79,0.61,0.8,0.77,0.68,0.78,0.9,0.84
HAMA_03,0.75,0.78,0.81,0.75,0.79,0.75,0.78,0.87,0.87,1.0,0.83,0.83,0.87,0.82,0.85,0.81,0.8,0.82,0.81,0.84,0.85,0.63,0.67,0.75,0.68,0.8,0.69,0.71,0.73,0.74,0.58,0.7,0.65,0.76,0.79,0.64,0.76,0.58,0.69,0.69,0.62,0.73,0.85,0.78
